start_date,end_date,value,device
2022-05-23 23:04:26+01:00,2022-05-24 03:50:05+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 03:50:10+01:00,2022-05-24 03:58:23+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 03:58:26+01:00,2022-05-24 04:05:23+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 04:05:27+01:00,2022-05-24 04:08:13+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 04:10:22+01:00,2022-05-24 04:10:33+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 04:10:38+01:00,2022-05-24 04:13:01+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 04:25:18+01:00,2022-05-24 04:29:58+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 04:31:36+01:00,2022-05-24 04:33:06+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-24 21:00:00+01:00,2022-05-25 04:59:15+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-25 23:09:05+01:00,2022-05-26 05:00:15+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-27 01:28:56+01:00,2022-05-27 05:00:36+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-27 05:00:55+01:00,2022-05-27 05:02:49+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-27 05:03:00+01:00,2022-05-27 09:36:38+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-27 22:35:14+01:00,2022-05-28 05:00:16+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 02:20:19+01:00,2022-05-29 02:22:57+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 02:23:20+01:00,2022-05-29 02:24:18+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 02:30:50+01:00,2022-05-29 02:31:10+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 02:36:24+01:00,2022-05-29 02:42:05+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 02:44:34+01:00,2022-05-29 05:09:39+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-29 21:58:06+01:00,2022-05-30 04:50:14+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 00:01:38+01:00,2022-05-31 05:00:53+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 00:01:38+01:00,2022-05-31 05:00:53+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 05:01:04+01:00,2022-05-31 05:10:25+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 05:01:04+01:00,2022-05-31 05:10:25+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 05:10:39+01:00,2022-05-31 05:10:41+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 05:10:39+01:00,2022-05-31 05:10:41+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 05:10:58+01:00,2022-05-31 05:19:00+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
2022-05-31 21:40:00+01:00,2022-06-01 06:00:02+01:00,HKCategoryValueSleepAnalysisInBed,iPhone
